> Logger escuchando en http://0.0.0.0:8765/log
  Deja este proceso corriendo para ver los logs del background aquí.
[2025-11-12T22:38:27.075Z] [BOOT] service-worker loaded {"version":"3.2.0"}
[2025-11-12T22:38:27.084Z] [LIFE] onInstalled {"reason":"install"}
[2025-11-12T22:38:27.115Z] [STATE] tabState:init {"tabId":2107184964}
[2025-11-12T22:38:27.135Z] [STATE] docBucket:init {"tabId":2107184964,"docKey":"https://www.marias-gasteiz.org/multimedia"}
[2025-11-12T22:38:27.140Z] [NAV] setCurrentDoc {"tabId":2107184964,"key":"https://www.marias-gasteiz.org/multimedia","startTs":1762987107092}
[2025-11-12T22:38:27.143Z] [NAV] main-change {"tabId":2107184964,"url":"https://www.marias-gasteiz.org/multimedia","source":"tabs.onUpdated"}
[2025-11-12T22:38:27.151Z] [NAV] main-change {"tabId":2107184964,"url":"https://www.marias-gasteiz.org/multimedia","source":"onCommitted"}
[2025-11-12T22:38:30.524Z] [MSG] onMessage {"type":"ensureHook","fromTab":2107184964,"frameId":3}
[2025-11-12T22:38:30.528Z] [MSG] onMessage {"type":"dbg.foundMediaElements","fromTab":2107184964,"frameId":3}
[2025-11-12T22:38:30.530Z] [DOM_VIDEOS] Recibidos 0 elementos <video/iframe/obj/embed> desde about:blank {"count":0,"elements":[],"frameUrl":"about:blank"}
[2025-11-12T22:38:30.610Z] [INJECT] ok {"tabId":2107184964,"frameId":3}
[2025-11-12T22:38:32.280Z] [INJECT] ok {"tabId":2107184964,"frameId":0}
[2025-11-12T22:38:32.283Z] [INJECT] ok {"tabId":2107184964,"frameId":0}
[2025-11-12T22:38:32.288Z] [MSG] onMessage {"type":"ensureHook","fromTab":2107184964,"frameId":0}
[2025-11-12T22:38:32.291Z] [MSG] onMessage {"type":"dbg.foundMediaElements","fromTab":2107184964,"frameId":0}
[2025-11-12T22:38:32.296Z] [DOM_VIDEOS] Recibidos 1 elementos <video/iframe/obj/embed> desde https://www.marias-gasteiz.org/multimedia {"count":1,"elements":["<iframe class=\"I7i1mL\" width=\"856\" height=\"481.5\" tabindex=\"-1\" loading=\"lazy\" allow=\"accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture\" allowfullscreen=\"\"></iframe>"],"frameUrl":"https://www.marias-gasteiz.org/multimedia"}
[2025-11-12T22:38:32.823Z] [NAV] main-change {"tabId":2107184964,"url":"https://www.marias-gasteiz.org/multimedia","source":"tabs.onUpdated"}
[2025-11-12T22:38:43.935Z] [MSG] onMessage {"type":"dbg.ping"}
[2025-11-12T22:38:43.939Z] [DBG] PING {"from":"popup-opened"}
[2025-11-12T22:38:44.009Z] [MSG] onMessage {"type":"getVideos"}
[2025-11-12T22:38:44.011Z] [MSG] onMessage {"type":"dbg.logs"}
[2025-11-12T22:38:44.020Z] [GET] context {"tabId":2107184964,"currentUrl":"https://www.marias-gasteiz.org/multimedia","docKey":"https://www.marias-gasteiz.org/multimedia","curOrigin":"https://www.marias-gasteiz.org","bucketCount":0,"startTs":1762987107092,"TTL_MS":0}
[2025-11-12T22:38:44.027Z] [GET] result {"tabId":2107184964,"kept":0,"sample":[]}
[2025-11-12T22:38:44.028Z] [MSG] onMessage {"type":"dbg.dump"}
[2025-11-12T22:38:44.029Z] [MSG] onMessage {"type":"dbg.logs"}
[2025-11-12T22:38:44.044Z] [MSG] onMessage {"type":"dbg.dump"}
[2025-11-12T22:39:06.085Z] [MSG] onMessage {"type":"dbg.ping"}
[2025-11-12T22:39:06.117Z] [DBG] PING {"from":"popup-opened"}
[2025-11-12T22:39:06.118Z] [MSG] onMessage {"type":"getVideos"}
[2025-11-12T22:39:06.119Z] [MSG] onMessage {"type":"dbg.logs"}
[2025-11-12T22:39:06.119Z] [MSG] onMessage {"type":"dbg.logs"}
[2025-11-12T22:39:06.120Z] [GET] context {"tabId":2107184964,"currentUrl":"https://www.marias-gasteiz.org/multimedia","docKey":"https://www.marias-gasteiz.org/multimedia","curOrigin":"https://www.marias-gasteiz.org","bucketCount":0,"startTs":1762987107092,"TTL_MS":0}
[2025-11-12T22:39:06.121Z] [GET] result {"tabId":2107184964,"kept":0,"sample":[]}
[2025-11-12T22:39:06.122Z] [MSG] onMessage {"type":"dbg.dump"}
[2025-11-12T22:39:06.141Z] [MSG] onMessage {"type":"dbg.dump"}
